+-------------+----------------------+
| amka        | Ιδιότητα             |
| 80000000053 | Ιατρός               |
| 80000000054 | Ιατρός               |
| 80000000056 | Ιατρός               |
| 80000000057 | Ιατρός               |
| 80000000059 | Ιατρός               |
| 80000000060 | Ιατρός               |
| 80000000062 | Ιατρός               |
| 80000000063 | Ιατρός               |
| 80000000065 | Ιατρός               |
| 80000000066 | Ιατρός               |
| 80000000068 | Ιατρός               |
| 80000000069 | Ιατρός               |
| 80000000071 | Ιατρός               |
| 80000000072 | Ιατρός               |
| 80000000074 | Ιατρός               |
| 80000000075 | Ιατρός               |
| 80000000076 | Ιατρός               |
| 80000000078 | Ιατρός               |
| 80000000079 | Ιατρός               |
| 90000000115 | Νοσηλευτής           |
| 90000000116 | Νοσηλευτής           |
| 90000000117 | Νοσηλευτής           |
| 90000000118 | Νοσηλευτής           |
| 90000000119 | Νοσηλευτής           |
| 90000000120 | Νοσηλευτής           |
| 90000000121 | Νοσηλευτής           |
| 90000000122 | Νοσηλευτής           |
| 90000000124 | Νοσηλευτής           |
| 90000000125 | Νοσηλευτής           |
| 90000000126 | Νοσηλευτής           |
| 90000000058 | Νοσηλευτής           |
| 90000000059 | Νοσηλευτής           |
| 90000000060 | Νοσηλευτής           |
| 90000000061 | Νοσηλευτής           |
| 90000000062 | Νοσηλευτής           |
| 90000000063 | Νοσηλευτής           |
| 90000000064 | Νοσηλευτής           |
| 90000000065 | Νοσηλευτής           |
| 90000000066 | Νοσηλευτής           |
| 90000000068 | Νοσηλευτής           |
| 90000000069 | Νοσηλευτής           |
| 90000000070 | Νοσηλευτής           |
| 90000000071 | Νοσηλευτής           |
| 90000000072 | Νοσηλευτής           |
| 90000000073 | Νοσηλευτής           |
| 90000000074 | Νοσηλευτής           |
| 90000000075 | Νοσηλευτής           |
| 90000000076 | Νοσηλευτής           |
| 90000000077 | Νοσηλευτής           |
| 90000000078 | Νοσηλευτής           |
| 90000000079 | Νοσηλευτής           |
| 90000000080 | Νοσηλευτής           |
| 90000000081 | Νοσηλευτής           |
| 90000000082 | Νοσηλευτής           |
| 90000000083 | Νοσηλευτής           |
| 90000000084 | Νοσηλευτής           |
| 90000000085 | Νοσηλευτής           |
| 90000000086 | Νοσηλευτής           |
| 90000000087 | Νοσηλευτής           |
| 90000000088 | Νοσηλευτής           |
| 90000000089 | Νοσηλευτής           |
| 90000000090 | Νοσηλευτής           |
| 90000000091 | Νοσηλευτής           |
| 90000000092 | Νοσηλευτής           |
| 90000000093 | Νοσηλευτής           |
| 90000000094 | Νοσηλευτής           |
| 90000000095 | Νοσηλευτής           |
| 90000000096 | Νοσηλευτής           |
| 90000000097 | Νοσηλευτής           |
| 90000000098 | Νοσηλευτής           |
| 90000000099 | Νοσηλευτής           |
| 90000000100 | Νοσηλευτής           |
| 90000000101 | Νοσηλευτής           |
| 90000000102 | Νοσηλευτής           |
| 90000000103 | Νοσηλευτής           |
| 90000000104 | Νοσηλευτής           |
| 90000000105 | Νοσηλευτής           |
| 90000000106 | Νοσηλευτής           |
| 90000000107 | Νοσηλευτής           |
| 90000000108 | Νοσηλευτής           |
| 90000000109 | Νοσηλευτής           |
| 90000000110 | Νοσηλευτής           |
| 90000000111 | Νοσηλευτής           |
| 90000000112 | Νοσηλευτής           |
| 90000000113 | Νοσηλευτής           |
| 90000000114 | Νοσηλευτής           |
| 90000000127 | Νοσηλευτής           |
| 90000000128 | Νοσηλευτής           |
| 90000000129 | Νοσηλευτής           |
| 90000000131 | Νοσηλευτής           |
| 90000000132 | Νοσηλευτής           |
| 90000000133 | Νοσηλευτής           |
| 90000000134 | Νοσηλευτής           |
| 90000000135 | Νοσηλευτής           |
| 90000000136 | Νοσηλευτής           |
| 90000000137 | Νοσηλευτής           |
| 90000000138 | Νοσηλευτής           |
| 90000000151 | Νοσηλευτής           |
| 90000000152 | Νοσηλευτής           |
| 90000000153 | Νοσηλευτής           |
| 90000000154 | Νοσηλευτής           |
| 90000000155 | Νοσηλευτής           |
| 90000000157 | Νοσηλευτής           |
| 90000000158 | Νοσηλευτής           |
| 90000000159 | Νοσηλευτής           |
| 90000000160 | Νοσηλευτής           |
| 90000000161 | Νοσηλευτής           |
| 90000000162 | Νοσηλευτής           |
| 90000000163 | Νοσηλευτής           |
| 90000000164 | Νοσηλευτής           |
| 90000000165 | Νοσηλευτής           |
| 90000000166 | Νοσηλευτής           |
| 90000000167 | Νοσηλευτής           |
| 90000000168 | Νοσηλευτής           |
| 90000000169 | Νοσηλευτής           |
| 90000000170 | Νοσηλευτής           |
| 90000000171 | Νοσηλευτής           |
| 90000000172 | Νοσηλευτής           |
| 90000000173 | Νοσηλευτής           |
| 90000000174 | Νοσηλευτής           |
| 90000000175 | Νοσηλευτής           |
| 90000000176 | Νοσηλευτής           |
| 90000000177 | Νοσηλευτής           |
| 90000000178 | Νοσηλευτής           |
| 90000000179 | Νοσηλευτής           |
| 90000000180 | Νοσηλευτής           |
| 90000000181 | Νοσηλευτής           |
| 90000000182 | Νοσηλευτής           |
| 90000000183 | Νοσηλευτής           |
| 90000000184 | Νοσηλευτής           |
| 90000000185 | Νοσηλευτής           |
| 90000000186 | Νοσηλευτής           |
| 90000000187 | Νοσηλευτής           |
| 90000000188 | Νοσηλευτής           |
| 90000000189 | Νοσηλευτής           |
| 90000000190 | Νοσηλευτής           |
| 90000000191 | Νοσηλευτής           |
| 90000000192 | Νοσηλευτής           |
| 90000000193 | Νοσηλευτής           |
| 90000000194 | Νοσηλευτής           |
| 90000000195 | Νοσηλευτής           |
| 90000000196 | Νοσηλευτής           |
| 90000000197 | Νοσηλευτής           |
| 90000000198 | Νοσηλευτής           |
| 90000000199 | Νοσηλευτής           |
| 90000000200 | Νοσηλευτής           |
| 90000000201 | Νοσηλευτής           |
| 90000000202 | Νοσηλευτής           |
| 90000000203 | Νοσηλευτής           |
| 90000000204 | Νοσηλευτής           |
| 90000000205 | Νοσηλευτής           |
| 90000000206 | Νοσηλευτής           |
| 90000000207 | Νοσηλευτής           |
| 90000000208 | Νοσηλευτής           |
| 90000000209 | Νοσηλευτής           |
| 90000000210 | Νοσηλευτής           |
| 90000000211 | Νοσηλευτής           |
| 90000000212 | Νοσηλευτής           |
| 90000000213 | Νοσηλευτής           |
| 90000000214 | Νοσηλευτής           |
| 90000000215 | Νοσηλευτής           |
| 90000000216 | Νοσηλευτής           |
| 90000000217 | Νοσηλευτής           |
| 90000000218 | Νοσηλευτής           |
| 90000000219 | Νοσηλευτής           |
| 90000000220 | Νοσηλευτής           |
| 90000000221 | Νοσηλευτής           |
| 90000000222 | Νοσηλευτής           |
| 90000000223 | Νοσηλευτής           |
| 90000000224 | Νοσηλευτής           |
| 90000000225 | Νοσηλευτής           |
| 90000000226 | Νοσηλευτής           |
| 90000000227 | Νοσηλευτής           |
| 90000000228 | Νοσηλευτής           |
| 90000000229 | Νοσηλευτής           |
| 90000000230 | Νοσηλευτής           |
| 90000000139 | Νοσηλευτής           |
| 90000000140 | Νοσηλευτής           |
| 90000000141 | Νοσηλευτής           |
| 90000000142 | Νοσηλευτής           |
| 90000000143 | Νοσηλευτής           |
| 90000000144 | Νοσηλευτής           |
| 90000000145 | Νοσηλευτής           |
| 90000000146 | Νοσηλευτής           |
| 90000000147 | Νοσηλευτής           |
| 90000000148 | Νοσηλευτής           |
| 90000000149 | Νοσηλευτής           |
| 90000000150 | Νοσηλευτής           |
| 90000000001 | Νοσηλευτής           |
| 90000000002 | Νοσηλευτής           |
| 90000000003 | Νοσηλευτής           |
| 90000000004 | Νοσηλευτής           |
| 90000000005 | Νοσηλευτής           |
| 90000000006 | Νοσηλευτής           |
| 90000000007 | Νοσηλευτής           |
| 90000000008 | Νοσηλευτής           |
| 90000000009 | Νοσηλευτής           |
| 90000000010 | Νοσηλευτής           |
| 90000000011 | Νοσηλευτής           |
| 90000000012 | Νοσηλευτής           |
| 90000000013 | Νοσηλευτής           |
| 90000000014 | Νοσηλευτής           |
| 90000000015 | Νοσηλευτής           |
| 90000000016 | Νοσηλευτής           |
| 90000000017 | Νοσηλευτής           |
| 90000000018 | Νοσηλευτής           |
| 90000000019 | Νοσηλευτής           |
| 90000000020 | Νοσηλευτής           |
| 90000000021 | Νοσηλευτής           |
| 90000000022 | Νοσηλευτής           |
| 90000000023 | Νοσηλευτής           |
| 90000000024 | Νοσηλευτής           |
| 90000000025 | Νοσηλευτής           |
| 90000000026 | Νοσηλευτής           |
| 90000000027 | Νοσηλευτής           |
| 90000000028 | Νοσηλευτής           |
| 90000000029 | Νοσηλευτής           |
| 90000000030 | Νοσηλευτής           |
| 90000000031 | Νοσηλευτής           |
| 90000000032 | Νοσηλευτής           |
| 90000000033 | Νοσηλευτής           |
| 90000000034 | Νοσηλευτής           |
| 90000000035 | Νοσηλευτής           |
| 90000000036 | Νοσηλευτής           |
| 90000000037 | Νοσηλευτής           |
| 90000000038 | Νοσηλευτής           |
| 90000000039 | Νοσηλευτής           |
| 90000000040 | Νοσηλευτής           |
| 90000000041 | Νοσηλευτής           |
| 90000000042 | Νοσηλευτής           |
| 90000000043 | Νοσηλευτής           |
| 90000000044 | Νοσηλευτής           |
| 90000000045 | Νοσηλευτής           |
| 90000000046 | Νοσηλευτής           |
| 90000000047 | Νοσηλευτής           |
| 90000000048 | Νοσηλευτής           |
| 90000000049 | Νοσηλευτής           |
| 90000000050 | Νοσηλευτής           |
| 90000000051 | Νοσηλευτής           |
| 90000000052 | Νοσηλευτής           |
| 90000000053 | Νοσηλευτής           |
| 90000000054 | Νοσηλευτής           |
| 90000000055 | Νοσηλευτής           |
| 90000000056 | Νοσηλευτής           |
| 90000000057 | Νοσηλευτής           |
| 90000000232 | Νοσηλευτής           |
| 90000000233 | Νοσηλευτής           |
| 90000000234 | Νοσηλευτής           |
| 90000000235 | Νοσηλευτής           |
| 90000000236 | Νοσηλευτής           |
| 90000000237 | Νοσηλευτής           |
| 90000000238 | Νοσηλευτής           |
| 90000000239 | Νοσηλευτής           |
| 90000000240 | Νοσηλευτής           |
+-------------+----------------------+
312 rows in set (0.008 sec)
