+-----------------------+-----------------------------+-----------------------------------+-----------------------+-----------------------------+---------------------------------------+
| ΑΜΚΑ Ιατρού           | Επώνυμο Ιατρού              | Βαθμίδα Εποπτείας                 | ΑΜΚΑ Επόπτη           | Επώνυμο Επόπτη              | Ένδειξη Επιπέδου                      |
| 80000000005           | Ελευθερίου                  |                                 1 | 80000000001           | Αθανασίου                   | Άμεσος Επόπτης                        |
| 80000000068           | Εμμανουήλ                   |                                 1 | 80000000067           | Δούκας                      | Άμεσος Επόπτης                        |
| 80000000046           | Εξάρχου                     |                                 1 | 80000000001           | Αθανασίου                   | Άμεσος Επόπτης                        |
| 80000000047           | Ζαφείρης                    |                                 1 | 80000000046           | Εξάρχου                     | Άμεσος Επόπτης                        |
| 80000000047           | Ζαφείρης                    |                                 2 | 80000000001           | Αθανασίου                   | Επόπτης 2ου Επιπέδου                  |
| 80000000006           | Ζαφειρίου                   |                                 1 | 80000000001           | Αθανασίου                   | Άμεσος Επόπτης                        |
| 80000000069           | Ζαχαριάδης                  |                                 1 | 80000000068           | Εμμανουήλ                   | Άμεσος Επόπτης                        |
| 80000000069           | Ζαχαριάδης                  |                                 2 | 80000000067           | Δούκας                      | Επόπτης 2ου Επιπέδου                  |
| 80000000027           | Ζέρβας                      |                                 1 | 80000000026           | Δάλλα                       | Άμεσος Επόπτης                        |
| 80000000027           | Ζέρβας                      |                                 2 | 80000000025           | Γαλάνης                     | Επόπτης 2ου Επιπέδου                  |
| 80000000048           | Ηλία                        |                                 1 | 80000000047           | Ζαφείρης                    | Άμεσος Επόπτης                        |
| 80000000048           | Ηλία                        |                                 2 | 80000000046           | Εξάρχου                     | Επόπτης 2ου Επιπέδου                  |
| 80000000048           | Ηλία                        |                                 3 | 80000000001           | Αθανασίου                   | Επόπτης 3ου Επιπέδου                  |
| 80000000070           | Ηρακλέους                   |                                 1 | 80000000001           | Αθανασίου                   | Άμεσος Επόπτης                        |
| 80000000028           | Θάνου                       |                                 1 | 80000000007           | Ηλιάδης                     | Άμεσος Επόπτης                        |
| 80000000071           | Θεοδωρίδης                  |                                 1 | 80000000070           | Ηρακλέους                   | Άμεσος Επόπτης                        |
| 80000000071           | Θεοδωρίδης                  |                                 2 | 80000000001           | Αθανασίου                   | Επόπτης 2ου Επιπέδου                  |
| 80000000008           | Θεοδώρου                    |                                 1 | 80000000007           | Ηλιάδης                     | Άμεσος Επόπτης                        |
| 80000000050           | Ιωαννίδη                    |                                 1 | 80000000049           | Θεοφίλου                    | Άμεσος Επόπτης                        |
| 80000000072           | Ιωαννίδου                   |                                 1 | 80000000071           | Θεοδωρίδης                  | Άμεσος Επόπτης                        |
| 80000000072           | Ιωαννίδου                   |                                 2 | 80000000070           | Ηρακλέους                   | Επόπτης 2ου Επιπέδου                  |
| 80000000072           | Ιωαννίδου                   |                                 3 | 80000000001           | Αθανασίου                   | Επόπτης 3ου Επιπέδου                  |
| 80000000009           | Ιωάννου                     |                                 1 | 80000000007           | Ηλιάδης                     | Άμεσος Επόπτης                        |
| 80000000029           | Καρράς                      |                                 1 | 80000000007           | Ηλιάδης                     | Άμεσος Επόπτης                        |
| 80000000051           | Κοσμάς                      |                                 1 | 80000000050           | Ιωαννίδη                    | Άμεσος Επόπτης                        |
| 80000000051           | Κοσμάς                      |                                 2 | 80000000049           | Θεοφίλου                    | Επόπτης 2ου Επιπέδου                  |
| 80000000010           | Κωνσταντίνου                |                                 1 | 80000000009           | Ιωάννου                     | Άμεσος Επόπτης                        |
| 80000000010           | Κωνσταντίνου                |                                 2 | 80000000007           | Ηλιάδης                     | Επόπτης 2ου Επιπέδου                  |
| 80000000074           | Λαμπρίδη                    |                                 1 | 80000000073           | Κομνηνός                    | Άμεσος Επόπτης                        |
| 80000000011           | Λάμπρου                     |                                 1 | 80000000007           | Ηλιάδης                     | Άμεσος Επόπτης                        |
| 80000000030           | Λεοντίου                    |                                 1 | 80000000029           | Καρράς                      | Άμεσος Επόπτης                        |
| 80000000030           | Λεοντίου                    |                                 2 | 80000000007           | Ηλιάδης                     | Επόπτης 2ου Επιπέδου                  |
| 80000000052           | Λουκά                       |                                 1 | 80000000001           | Αθανασίου                   | Άμεσος Επόπτης                        |
| 80000000012           | Μακρή                       |                                 1 | 80000000011           | Λάμπρου                     | Άμεσος Επόπτης                        |
| 80000000012           | Μακρή                       |                                 2 | 80000000007           | Ηλιάδης                     | Επόπτης 2ου Επιπέδου                  |
| 80000000075           | Μανουσάκης                  |                                 1 | 80000000074           | Λαμπρίδη                    | Άμεσος Επόπτης                        |
| 80000000075           | Μανουσάκης                  |                                 2 | 80000000073           | Κομνηνός                    | Επόπτης 2ου Επιπέδου                  |
| 80000000053           | Μιχαηλίδης                  |                                 1 | 80000000052           | Λουκά                       | Άμεσος Επόπτης                        |
| 80000000053           | Μιχαηλίδης                  |                                 2 | 80000000001           | Αθανασίου                   | Επόπτης 2ου Επιπέδου                  |
| 80000000054           | Νικολόπουλου                |                                 1 | 80000000053           | Μιχαηλίδης                  | Άμεσος Επόπτης                        |
| 80000000054           | Νικολόπουλου                |                                 2 | 80000000052           | Λουκά                       | Επόπτης 2ου Επιπέδου                  |
| 80000000054           | Νικολόπουλου                |                                 3 | 80000000001           | Αθανασίου                   | Επόπτης 3ου Επιπέδου                  |
| 80000000076           | Νταλάρα                     |                                 1 | 80000000075           | Μανουσάκης                  | Άμεσος Επόπτης                        |
| 80000000076           | Νταλάρα                     |                                 2 | 80000000074           | Λαμπρίδη                    | Επόπτης 2ου Επιπέδου                  |
| 80000000076           | Νταλάρα                     |                                 3 | 80000000073           | Κομνηνός                    | Επόπτης 3ου Επιπέδου                  |
| 80000000032           | Ντάση                       |                                 1 | 80000000031           | Μάνθος                      | Άμεσος Επόπτης                        |
| 80000000033           | Ξαρχάκος                    |                                 1 | 80000000032           | Ντάση                       | Άμεσος Επόπτης                        |
| 80000000033           | Ξαρχάκος                    |                                 2 | 80000000031           | Μάνθος                      | Επόπτης 2ου Επιπέδου                  |
| 80000000014           | Ξένου                       |                                 1 | 80000000013           | Νικολάου                    | Άμεσος Επόπτης                        |
| 80000000056           | Οικονόμου                   |                                 1 | 80000000055           | Ξανθόπουλος                 | Άμεσος Επόπτης                        |
| 80000000015           | Οικονόμου                   |                                 1 | 80000000014           | Ξένου                       | Άμεσος Επόπτης                        |
| 80000000015           | Οικονόμου                   |                                 2 | 80000000013           | Νικολάου                    | Επόπτης 2ου Επιπέδου                  |
| 80000000078           | Ορφανού                     |                                 1 | 80000000077           | Ξενάκης                     | Άμεσος Επόπτης                        |
| 80000000034           | Παναγιώτου                  |                                 1 | 80000000007           | Ηλιάδης                     | Άμεσος Επόπτης                        |
| 80000000079           | Παπαγεωργίου                |                                 1 | 80000000078           | Ορφανού                     | Άμεσος Επόπτης                        |
| 80000000079           | Παπαγεωργίου                |                                 2 | 80000000077           | Ξενάκης                     | Επόπτης 2ου Επιπέδου                  |
| 80000000057           | Παπαρίζος                   |                                 1 | 80000000056           | Οικονόμου                   | Άμεσος Επόπτης                        |
| 80000000057           | Παπαρίζος                   |                                 2 | 80000000055           | Ξανθόπουλος                 | Επόπτης 2ου Επιπέδου                  |
| 80000000016           | Παππά                       |                                 1 | 80000000007           | Ηλιάδης                     | Άμεσος Επόπτης                        |
| 80000000035           | Ράπτης                      |                                 1 | 80000000034           | Παναγιώτου                  | Άμεσος Επόπτης                        |
| 80000000035           | Ράπτης                      |                                 2 | 80000000007           | Ηλιάδης                     | Επόπτης 2ου Επιπέδου                  |
| 80000000017           | Ρήγας                       |                                 1 | 80000000007           | Ηλιάδης                     | Άμεσος Επόπτης                        |
| 80000000080           | Ροδίτου                     |                                 1 | 80000000001           | Αθανασίου                   | Άμεσος Επόπτης                        |
| 80000000058           | Ρωμανού                     |                                 1 | 80000000001           | Αθανασίου                   | Άμεσος Επόπτης                        |
| 80000000036           | Σαμαρά                      |                                 1 | 80000000035           | Ράπτης                      | Άμεσος Επόπτης                        |
| 80000000036           | Σαμαρά                      |                                 2 | 80000000034           | Παναγιώτου                  | Επόπτης 2ου Επιπέδου                  |
| 80000000036           | Σαμαρά                      |                                 3 | 80000000007           | Ηλιάδης                     | Επόπτης 3ου Επιπέδου                  |
| 80000000018           | Σταύρου                     |                                 1 | 80000000017           | Ρήγας                       | Άμεσος Επόπτης                        |
| 80000000018           | Σταύρου                     |                                 2 | 80000000007           | Ηλιάδης                     | Επόπτης 2ου Επιπέδου                  |
| 80000000059           | Στεφάνου                    |                                 1 | 80000000058           | Ρωμανού                     | Άμεσος Επόπτης                        |
| 80000000059           | Στεφάνου                    |                                 2 | 80000000001           | Αθανασίου                   | Επόπτης 2ου Επιπέδου                  |
| 80000000060           | Τριανταφύλλου               |                                 1 | 80000000059           | Στεφάνου                    | Άμεσος Επόπτης                        |
| 80000000060           | Τριανταφύλλου               |                                 2 | 80000000058           | Ρωμανού                     | Επόπτης 2ου Επιπέδου                  |
| 80000000060           | Τριανταφύλλου               |                                 3 | 80000000001           | Αθανασίου                   | Επόπτης 3ου Επιπέδου                  |
| 80000000038           | Υφαντή                      |                                 1 | 80000000037           | Τάτσης                      | Άμεσος Επόπτης                        |
| 80000000020           | Υφαντή                      |                                 1 | 80000000019           | Τσάτσος                     | Άμεσος Επόπτης                        |
| 80000000039           | Φράγκος                     |                                 1 | 80000000038           | Υφαντή                      | Άμεσος Επόπτης                        |
| 80000000039           | Φράγκος                     |                                 2 | 80000000037           | Τάτσης                      | Επόπτης 2ου Επιπέδου                  |
| 80000000021           | Φωτίου                      |                                 1 | 80000000020           | Υφαντή                      | Άμεσος Επόπτης                        |
| 80000000021           | Φωτίου                      |                                 2 | 80000000019           | Τσάτσος                     | Επόπτης 2ου Επιπέδου                  |
| 80000000022           | Χατζή                       |                                 1 | 80000000007           | Ηλιάδης                     | Άμεσος Επόπτης                        |
| 80000000040           | Χρήστου                     |                                 1 | 80000000007           | Ηλιάδης                     | Άμεσος Επόπτης                        |
| 80000000062           | Χρονοπούλου                 |                                 1 | 80000000061           | Φιλιππίδης                  | Άμεσος Επόπτης                        |
| 80000000023           | Ψαρράς                      |                                 1 | 80000000007           | Ηλιάδης                     | Άμεσος Επόπτης                        |
| 80000000041           | Ψυχογιός                    |                                 1 | 80000000006           | Ζαφειρίου                   | Άμεσος Επόπτης                        |
| 80000000041           | Ψυχογιός                    |                                 2 | 80000000001           | Αθανασίου                   | Επόπτης 2ου Επιπέδου                  |
| 80000000063           | Ψωμάς                       |                                 1 | 80000000062           | Χρονοπούλου                 | Άμεσος Επόπτης                        |
| 80000000063           | Ψωμάς                       |                                 2 | 80000000061           | Φιλιππίδης                  | Επόπτης 2ου Επιπέδου                  |
+-----------------------+-----------------------------+-----------------------------------+-----------------------+-----------------------------+---------------------------------------+
109 rows in set (0.002 sec)
